@relation StudentPerformanceFactors_new

@attribute Hours_Studied {Medium,Low,High}
@attribute Attendance {Medium,Low,High}
@attribute Parental_Involvement {Low,Medium,High}
@attribute Access_to_Resources {High,Medium,Low}
@attribute Extracurricular_Activities {No,Yes}
@attribute Sleep_Hours {Medium,High,Low}
@attribute Previous_Scores {B,C,A,D}
@attribute Motivation_Level {Low,Medium,High}
@attribute Internet_Access {Yes,No}
@attribute Tutoring_Sessions {Low,Medium,High}
@attribute Family_Income {Low,Medium,High}
@attribute Teacher_Quality {Medium,High,Low}
@attribute School_Type {Public,Private}
@attribute Peer_Influence {Positive,Negative,Neutral}
@attribute Physical_Activity {Medium,Low,High}
@attribute Learning_Disabilities {No,Yes}
@attribute Parental_Education_Level {'High School',College,Postgraduate}
@attribute Distance_from_Home {Near,Moderate,Far}
@attribute Gender {Male,Female}
@attribute Exam_Score {C,B,A}

@data
Low,Medium,Low,High,No,High,A,Medium,No,High,Medium,High,Private,Neutral,Medium,No,College,Moderate,Male,C
Low,High,Medium,High,Yes,Medium,A,Low,Yes,Medium,Low,High,Private,Neutral,Low,No,'High School',Near,Male,B
Medium,Medium,Medium,Medium,Yes,High,A,Low,Yes,Medium,Medium,Medium,Public,Positive,Medium,No,'High School',Near,Male,B
Low,Medium,Medium,Medium,Yes,High,B,Medium,Yes,Medium,Medium,Medium,Private,Positive,Medium,No,Postgraduate,Near,Male,C
Low,Medium,Medium,High,Yes,High,B,Medium,Yes,Low,Low,Medium,Private,Neutral,Medium,No,Postgraduate,Near,Male,C
Low,Low,Medium,Medium,No,High,B,Medium,Yes,Medium,Medium,Medium,Private,Positive,Medium,No,'High School',Near,Female,C
Low,Low,Medium,Low,Yes,High,C,Low,Yes,Low,High,Medium,Private,Positive,Medium,No,College,Near,Male,C
Medium,Medium,Low,Medium,Yes,Medium,B,Medium,Yes,Low,Low,High,Public,Neutral,Medium,No,'High School',Near,Female,C
Low,Medium,Medium,Medium,Yes,High,A,Low,Yes,Medium,Low,Medium,Public,Positive,Low,No,College,Moderate,Female,C
Low,Medium,Medium,High,Yes,Medium,C,Medium,Yes,Medium,Medium,Medium,Private,Positive,Medium,No,College,Near,Male,C
Medium,Medium,Medium,Medium,No,Low,A,High,Yes,Low,High,Medium,Public,Negative,Low,No,'High School',Moderate,Female,C
Low,High,Medium,High,No,Medium,B,Medium,Yes,Low,Medium,High,Public,Neutral,Medium,No,'High School',Near,Male,B
Medium,Medium,Medium,High,No,High,A,Low,Yes,Low,Medium,Medium,Public,Negative,Low,No,College,Moderate,Female,C
Low,Medium,High,Medium,Yes,High,A,High,Yes,Low,Low,Medium,Public,Neutral,Medium,No,'High School',Moderate,Male,C
Low,Low,Low,High,Yes,Low,B,Medium,Yes,Medium,Low,Medium,Public,Positive,Medium,No,'High School',Near,Female,C
Medium,Low,High,Low,Yes,Medium,D,High,Yes,Low,High,High,Public,Positive,Medium,No,Postgraduate,Far,Male,C
Low,High,Low,Medium,No,Medium,A,Medium,Yes,Low,High,Medium,Public,Negative,Low,Yes,'High School',Moderate,Female,C
Medium,Medium,High,High,Yes,Medium,A,Medium,Yes,Low,High,Medium,Public,Neutral,Low,No,College,Moderate,Male,B
Low,High,Medium,Medium,No,Low,C,Medium,Yes,Low,Low,Medium,Public,Neutral,Medium,No,'High School',Moderate,Female,C
Low,Low,High,High,No,Low,D,Low,Yes,Medium,Low,Medium,Private,Neutral,Low,No,College,Near,Male,C
Low,Medium,Low,Medium,No,Medium,C,Medium,Yes,Low,High,Low,Public,Positive,Medium,Yes,'High School',Near,Female,C
High,Medium,Medium,High,Yes,Medium,C,Medium,Yes,Low,High,Medium,Public,Negative,Medium,No,College,Near,Male,C
Medium,Low,Medium,Medium,Yes,High,A,Medium,Yes,Medium,Medium,High,Public,Positive,Medium,No,'High School',Near,Male,C
Low,Low,High,Medium,No,Low,D,Medium,Yes,Medium,Medium,Medium,Public,Neutral,Medium,No,College,Near,Female,C
Medium,Low,High,Medium,No,Low,A,Medium,Yes,Medium,Medium,Medium,Public,Positive,Medium,No,College,Moderate,Female,C
Low,Medium,Low,Medium,No,Medium,A,Low,Yes,Low,Low,Medium,Public,Negative,Medium,No,'High School',Near,Male,C
Medium,Low,Medium,Low,Yes,Medium,A,Low,Yes,Medium,Medium,High,Public,Positive,Medium,No,'High School',Far,Female,C
Low,High,Medium,Medium,No,High,D,Low,Yes,Medium,Low,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Female,C
Low,Medium,Low,Medium,Yes,High,B,Medium,Yes,Low,Low,Medium,Public,Positive,Medium,No,'High School',Near,Female,C
Medium,Low,Low,Medium,Yes,Medium,A,Low,Yes,Low,Medium,High,Public,Negative,Medium,No,'High School',Near,Male,C
Medium,Low,High,Medium,No,High,C,Low,Yes,Medium,High,High,Public,Neutral,Low,No,College,Near,Male,C
Medium,Medium,Medium,Medium,Yes,Medium,D,Low,Yes,Low,Medium,High,Public,Neutral,Low,Yes,College,Far,Female,C
Low,Low,Low,High,No,Medium,A,Medium,Yes,Low,Medium,Medium,Private,Positive,Medium,No,'High School',Moderate,Male,C
Low,High,Medium,High,Yes,Medium,B,Medium,Yes,Medium,Medium,Medium,Private,Negative,Low,Yes,College,Near,Male,B
Low,High,Medium,Medium,Yes,High,B,Low,Yes,Low,Medium,Medium,Private,Positive,Medium,No,Postgraduate,Far,Male,C
Low,Medium,Medium,Medium,Yes,High,A,Medium,Yes,Medium,Medium,Medium,Public,Positive,Medium,No,'High School',Moderate,Male,C
Low,Medium,Medium,Medium,Yes,Medium,A,Medium,Yes,Low,Medium,High,Private,Positive,Medium,No,College,Near,Female,C
Medium,Low,Medium,Low,Yes,Medium,B,Medium,Yes,Medium,Low,Medium,Public,Positive,Medium,No,'High School',Moderate,Female,C
Medium,High,Low,Medium,Yes,Medium,B,Low,Yes,Medium,Low,High,Public,Positive,Low,No,'High School',Moderate,Male,C
Low,Medium,Medium,Medium,No,Low,C,Medium,Yes,Medium,Medium,High,Public,Neutral,Medium,No,'High School',Near,Male,C
Medium,Medium,Low,Medium,Yes,Medium,C,Low,Yes,Low,Medium,Low,Public,Positive,Medium,No,College,Moderate,Male,C
Low,Low,High,Medium,No,Medium,B,Medium,Yes,Low,Medium,Medium,Public,Neutral,Medium,No,College,Near,Male,C
Low,High,Low,Medium,Yes,High,C,Medium,Yes,Medium,Medium,Medium,Public,Positive,Medium,No,'High School',Near,Male,C
Medium,Medium,High,Low,No,High,A,Medium,Yes,Low,Medium,Medium,Public,Neutral,Medium,No,'High School',Near,Female,C
Medium,Low,Medium,High,Yes,Medium,D,Low,Yes,Medium,High,High,Private,Neutral,Medium,Yes,Postgraduate,Far,Female,C
Medium,High,Medium,High,Yes,Low,B,Medium,Yes,Low,Low,High,Private,Positive,Medium,No,College,Moderate,Male,B
Low,Medium,Medium,High,No,Low,A,Low,No,Low,Medium,High,Public,Neutral,Low,Yes,'High School',Near,Female,C
Low,High,Medium,Medium,Yes,Medium,A,High,Yes,Low,Medium,Medium,Public,Positive,Medium,No,'High School',Near,Male,B
Medium,Low,High,Low,No,High,B,Medium,Yes,Medium,Medium,High,Public,Positive,Low,No,Postgraduate,Near,Female,C
Medium,High,Medium,Low,Yes,High,B,Medium,Yes,Low,Low,Medium,Private,Neutral,Medium,No,'High School',Moderate,Male,C
Low,High,Medium,Medium,No,Medium,A,Medium,Yes,Low,High,Medium,Public,Negative,Medium,No,Postgraduate,Near,Female,B
Low,Low,Medium,Medium,Yes,High,C,Low,Yes,Low,Low,Medium,Public,Positive,Medium,No,'High School',Moderate,Male,C
Low,High,Low,High,Yes,High,A,High,Yes,Medium,Low,High,Private,Negative,Medium,No,Postgraduate,Far,Male,C
Low,Medium,Medium,High,Yes,High,A,High,Yes,Medium,Low,Medium,Public,Neutral,Medium,No,College,Moderate,Male,C
Medium,High,Low,High,Yes,High,C,Medium,No,Low,Medium,High,Private,Neutral,Medium,No,Postgraduate,Near,Male,B
Medium,Low,Medium,High,Yes,High,A,Medium,Yes,Low,Medium,Medium,Public,Neutral,Low,No,'High School',Near,Male,C
Medium,High,Medium,Medium,Yes,High,A,Medium,Yes,Low,Low,Medium,Public,Negative,Medium,No,Postgraduate,Near,Male,C
Medium,Medium,Low,High,Yes,Low,B,High,Yes,Medium,Medium,High,Private,Positive,Low,No,'High School',Moderate,Male,B
Medium,High,Medium,High,No,Low,C,Low,No,Low,Low,High,Public,Negative,Medium,No,'High School',Moderate,Female,C
Low,Medium,Medium,Medium,No,Medium,A,Medium,Yes,Low,Low,Medium,Public,Negative,Medium,No,College,Near,Male,C
Medium,High,Medium,Low,Yes,Medium,D,Medium,No,Medium,Medium,Medium,Public,Positive,Medium,No,College,Near,Female,B
Medium,High,Medium,Low,Yes,Medium,B,Medium,Yes,Low,Low,Medium,Public,Positive,Medium,No,'High School',Moderate,Male,B
Medium,Medium,Medium,Medium,Yes,Medium,A,Medium,Yes,Low,Low,Low,Public,Neutral,Medium,No,College,Near,Female,C
Medium,High,Low,Medium,No,Low,A,Medium,Yes,Medium,Medium,Medium,Public,Negative,Low,No,Postgraduate,Near,Female,B
Low,High,High,High,Yes,High,C,High,Yes,Low,Medium,High,Private,Positive,Medium,No,College,Moderate,Male,C
Medium,Medium,Medium,Medium,No,Medium,D,Medium,Yes,Low,Medium,Medium,Public,Positive,Medium,No,Postgraduate,Near,Female,C
Medium,Medium,Low,Medium,Yes,Medium,A,Medium,Yes,High,Medium,Medium,Private,Neutral,Medium,No,Postgraduate,Moderate,Male,C
Low,Medium,High,Low,Yes,High,B,Medium,Yes,Low,Medium,Medium,Public,Neutral,Medium,No,'High School',Moderate,Female,C
Medium,Medium,Medium,Medium,Yes,Low,C,Medium,Yes,Low,High,Medium,Public,Neutral,Medium,Yes,College,Moderate,Male,C
Low,Low,Medium,Medium,Yes,Medium,D,Medium,Yes,Low,High,Medium,Public,Positive,Medium,No,College,Near,Male,C
Low,Low,Medium,High,Yes,Medium,B,High,Yes,Low,Low,Medium,Public,Negative,Low,No,'High School',Near,Male,C
Medium,Medium,High,Medium,No,Medium,B,High,Yes,Low,Low,Low,Public,Positive,Medium,No,'High School',Near,Male,C
Medium,Medium,High,High,Yes,Low,A,Low,Yes,High,Medium,High,Public,Neutral,Medium,No,College,Near,Male,B
Low,Low,Medium,Medium,Yes,Low,D,High,Yes,Medium,Medium,Medium,Private,Negative,Medium,No,'High School',Far,Female,C
Low,High,Medium,Medium,No,Medium,A,Medium,Yes,Medium,Low,Medium,Public,Positive,Medium,No,College,Moderate,Male,B
Low,High,Medium,High,Yes,Medium,A,Low,Yes,Low,Medium,Medium,Public,Neutral,Medium,No,'High School',Near,Male,C
Medium,Low,Medium,High,Yes,Medium,B,Medium,Yes,Medium,Medium,High,Private,Negative,Medium,No,College,Far,Male,C
Medium,High,Low,Low,No,Medium,D,Medium,Yes,Medium,Medium,Medium,Public,Neutral,Low,No,'High School',Moderate,Male,C
Low,High,Medium,High,No,Low,A,High,Yes,Medium,High,Medium,Public,Neutral,Medium,No,College,Near,Male,B
Medium,High,Medium,Low,Yes,Medium,D,Low,Yes,Low,Medium,Medium,Public,Negative,Medium,No,College,Near,Female,C
Medium,Low,High,Medium,No,Medium,B,Medium,Yes,Low,Medium,High,Public,Neutral,Medium,Yes,College,Near,Male,C
Medium,Medium,Medium,Low,Yes,High,B,Medium,Yes,Low,Medium,Low,Private,Neutral,Medium,Yes,'High School',Far,Female,C
Low,High,Medium,Medium,Yes,Medium,A,Low,Yes,Low,High,Medium,Private,Positive,Medium,No,College,Near,Male,B
Low,High,High,Medium,Yes,Low,B,Low,Yes,Low,Low,Medium,Public,Positive,Medium,No,'High School',Moderate,Male,C
Low,High,High,Medium,Yes,Low,B,Medium,Yes,Medium,High,Medium,Private,Positive,Low,No,College,Near,Female,A
Low,High,Medium,Medium,No,Medium,A,Medium,Yes,Medium,Medium,Medium,Public,Neutral,Medium,No,College,Moderate,Male,C
Medium,Low,Low,Medium,No,Medium,A,Low,No,Low,Medium,Medium,Public,Negative,Medium,No,'High School',Near,Male,C
Medium,Medium,Medium,Medium,Yes,Medium,B,Low,Yes,Medium,Medium,Medium,Public,Positive,Medium,No,Postgraduate,Far,Female,C
Medium,Low,High,High,Yes,Medium,B,Medium,Yes,Medium,Low,Medium,Private,Positive,Medium,No,'High School',Far,Male,C
Low,Low,Low,Medium,No,Low,A,High,Yes,Low,Medium,Medium,Public,Positive,Medium,No,College,Near,Male,C
Low,High,Medium,Medium,No,Low,A,High,Yes,Medium,Medium,High,Public,Neutral,Medium,Yes,'High School',Moderate,Male,C
Low,Low,Medium,High,Yes,High,C,Medium,Yes,Low,High,High,Public,Neutral,Medium,Yes,Postgraduate,Moderate,Female,C
Low,Medium,Medium,Medium,Yes,Medium,B,Medium,Yes,Low,Low,High,Private,Neutral,Medium,No,College,Far,Male,C
Low,High,High,Medium,No,Medium,C,High,Yes,Low,Low,High,Public,Positive,Medium,No,College,Near,Male,C
Low,Low,Medium,Medium,No,Low,B,High,Yes,Low,Low,Low,Private,Negative,Medium,No,'High School',Near,Male,C
Medium,High,Medium,Low,Yes,Medium,A,Low,Yes,Medium,Medium,Medium,Public,Negative,Medium,No,Postgraduate,Moderate,Male,B
High,High,Medium,Medium,No,Medium,C,Medium,Yes,Medium,High,High,Public,Positive,Medium,No,Postgraduate,Moderate,Male,B
Medium,Medium,Medium,High,Yes,Medium,C,High,Yes,Medium,Low,Medium,Public,Positive,Medium,Yes,College,Near,Female,C
Medium,Low,Medium,Medium,Yes,Medium,B,High,Yes,Medium,Low,High,Public,Positive,Low,No,Postgraduate,Moderate,Female,C
Medium,Medium,High,Medium,Yes,High,A,Medium,Yes,Medium,Medium,High,Public,Positive,Medium,No,College,Near,Male,C
Low,Medium,High,Medium,Yes,Medium,A,Medium,Yes,Low,Low,Medium,Public,Neutral,Low,No,'High School',Moderate,Male,C
Medium,Medium,Medium,Medium,No,High,C,Medium,Yes,Medium,Low,High,Private,Positive,Medium,No,Postgraduate,Near,Male,C
Medium,Medium,Low,High,Yes,Medium,C,High,Yes,Medium,Medium,Medium,Public,Negative,Medium,No,College,Near,Male,C
High,High,High,High,Yes,Medium,A,Low,Yes,Medium,Medium,High,Private,Neutral,Low,No,Postgraduate,Near,Female,B
Low,Low,Medium,Medium,No,High,B,Medium,Yes,Low,High,Medium,Public,Neutral,Medium,No,'High School',Near,Female,C
Medium,High,High,High,Yes,Medium,B,Medium,Yes,Low,High,High,Public,Positive,Medium,No,'High School',Near,Female,B
Medium,Low,Low,High,No,Medium,B,High,Yes,Medium,Low,High,Public,Positive,Medium,Yes,'High School',Near,Male,C
Low,Medium,Medium,Medium,No,Low,B,Medium,Yes,Low,Low,High,Public,Positive,Low,No,'High School',Near,Male,C
Medium,High,Low,High,Yes,High,B,Medium,Yes,Low,High,Medium,Public,Positive,Medium,No,'High School',Near,Female,B
Medium,Medium,High,High,Yes,High,A,Low,Yes,Medium,Low,Medium,Private,Positive,Medium,No,College,Moderate,Female,B
Medium,Low,High,Medium,No,High,A,High,Yes,Medium,Low,High,Public,Positive,Medium,Yes,'High School',Near,Female,C
Low,High,Medium,Medium,Yes,Medium,C,Medium,Yes,Low,Medium,Medium,Public,Negative,Medium,No,College,Near,Male,C
Medium,High,Low,High,Yes,High,B,High,Yes,Low,Low,Medium,Private,Positive,Low,No,College,Moderate,Female,B
Low,High,Low,Medium,No,Medium,B,Low,Yes,Medium,Medium,Medium,Public,Positive,Low,No,College,Far,Male,C
Medium,Medium,Medium,High,Yes,High,C,Medium,Yes,High,High,Medium,Private,Neutral,Medium,Yes,College,Moderate,Male,C
High,Medium,Medium,Medium,Yes,Medium,B,Low,Yes,Low,Low,High,Public,Neutral,Medium,No,College,Near,Male,C
Low,High,Medium,Medium,No,Medium,B,Medium,Yes,Low,Medium,High,Private,Positive,Medium,No,College,Moderate,Female,C
Low,High,Medium,Medium,No,High,A,Medium,Yes,Low,Low,Medium,Public,Neutral,Medium,No,'High School',Far,Male,C
Medium,Medium,Medium,Medium,Yes,High,C,Medium,Yes,Low,High,Low,Private,Positive,Low,No,College,Near,Male,C
Low,High,Low,Medium,Yes,High,C,Low,Yes,High,Medium,Medium,Public,Neutral,High,No,'High School',Far,Female,C
Low,Medium,Medium,High,Yes,High,D,Medium,Yes,Medium,Low,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Male,C
Medium,Medium,Medium,Medium,No,Medium,A,Low,Yes,Low,Low,High,Public,Positive,Medium,No,'High School',Near,Female,C
Low,Low,High,Low,No,Medium,A,Medium,Yes,Medium,Low,High,Public,Negative,Medium,No,'High School',Near,Male,C
Medium,Medium,Medium,Medium,Yes,Medium,B,Medium,Yes,Low,Low,High,Public,Neutral,Low,No,'High School',Moderate,Male,C
Low,Medium,Medium,Medium,No,High,B,Medium,Yes,Low,Low,High,Private,Negative,Medium,No,Postgraduate,Near,Female,C
Medium,Low,Medium,High,Yes,Medium,D,Low,Yes,Medium,Low,Medium,Private,Positive,Medium,No,College,Near,Female,C
Low,Medium,High,High,No,High,B,Low,Yes,Low,Low,Medium,Public,Negative,Low,No,'High School',Near,Male,C
Low,High,Low,Medium,Yes,Low,B,Medium,Yes,Low,Medium,Medium,Public,Neutral,Medium,No,'High School',Near,Female,C
Medium,High,Medium,Low,No,High,D,High,Yes,Low,Low,High,Private,Positive,Low,No,'High School',Near,Male,C
Low,High,High,Medium,No,Medium,A,Medium,Yes,Low,High,Medium,Private,Neutral,Low,Yes,'High School',Near,Male,C
Medium,High,Medium,Medium,No,High,C,High,Yes,Medium,Medium,High,Public,Neutral,Low,No,College,Near,Male,B
Medium,Low,Medium,High,No,Medium,A,High,Yes,Low,Low,Medium,Private,Negative,Medium,Yes,Postgraduate,Far,Male,C
Low,Medium,Medium,Low,No,High,B,Medium,Yes,Medium,Low,High,Public,Positive,Low,Yes,Postgraduate,Near,Female,C
Medium,High,High,Medium,No,Medium,A,Medium,Yes,Low,High,Medium,Private,Neutral,Low,No,Postgraduate,Near,Female,B
Medium,Medium,Medium,Medium,No,High,C,Medium,Yes,Medium,Low,Medium,Public,Negative,Low,Yes,'High School',Near,Female,C
Medium,Medium,Medium,High,No,High,D,High,No,Low,Low,High,Private,Negative,Medium,No,Postgraduate,Near,Female,C
Low,Low,Low,High,No,Medium,A,Medium,Yes,Low,Low,Medium,Private,Negative,Medium,No,'High School',Near,Male,C
Low,High,Low,High,Yes,High,C,Medium,Yes,Medium,Medium,High,Public,Negative,Medium,No,College,Near,Female,C
Medium,Medium,High,High,Yes,High,B,Low,Yes,Medium,Medium,Medium,Public,Negative,Medium,Yes,Postgraduate,Moderate,Female,C
Medium,High,Medium,High,Yes,Medium,C,Medium,Yes,Low,Low,Medium,Public,Positive,Medium,No,College,Near,Female,B
Medium,Medium,Medium,High,Yes,Low,B,Medium,Yes,Medium,Low,High,Public,Positive,Medium,No,Postgraduate,Near,Female,B
Medium,High,High,High,No,Low,B,Low,Yes,Medium,Low,High,Public,Negative,Medium,No,'High School',Near,Female,B
Low,High,Medium,High,Yes,Low,A,Low,Yes,Low,Low,Medium,Public,Neutral,Low,No,'High School',Moderate,Male,C
Medium,High,Low,Medium,Yes,Low,D,Medium,Yes,Medium,Low,High,Public,Positive,Low,No,'High School',Moderate,Female,C
Medium,Medium,Medium,Medium,Yes,High,A,Medium,Yes,Low,Low,High,Public,Neutral,Medium,No,'High School',Near,Female,C
Low,Medium,Medium,Medium,Yes,High,B,Medium,Yes,Medium,Medium,Medium,Public,Positive,Low,No,Postgraduate,Near,Female,C
High,High,Medium,Medium,Yes,Low,B,Medium,Yes,Medium,Medium,High,Public,Positive,Medium,Yes,'High School',Far,Male,B
Medium,Medium,Low,High,No,Medium,B,Low,Yes,Low,Medium,Medium,Public,Neutral,Low,No,College,Near,Male,C
Low,Medium,Medium,High,No,Low,A,Low,Yes,Medium,Medium,Medium,Private,Positive,Medium,No,'High School',Near,Female,C
Medium,Low,Medium,Medium,Yes,High,A,High,Yes,Low,Low,High,Public,Negative,Medium,No,'High School',Near,Male,C
Low,High,Medium,Medium,Yes,Medium,C,Medium,Yes,Medium,Medium,Medium,Public,Negative,Medium,Yes,College,Near,Female,C
Medium,Low,Medium,High,No,Low,A,Low,Yes,Medium,Medium,Medium,Public,Neutral,Medium,No,College,Far,Male,C
Medium,High,Medium,Medium,No,Medium,B,Low,Yes,Low,Medium,High,Public,Positive,Medium,No,'High School',Far,Male,C
Low,Medium,Medium,Medium,Yes,High,A,Low,Yes,Low,High,High,Public,Positive,Medium,No,College,Moderate,Male,C
Medium,Medium,Medium,High,Yes,Medium,D,Medium,Yes,High,High,Low,Public,Neutral,Medium,No,'High School',Near,Male,C
Medium,High,High,Low,Yes,Medium,C,Medium,No,Low,Low,Medium,Public,Neutral,Low,No,'High School',Near,Male,C
Medium,Low,High,Medium,Yes,Medium,B,Medium,Yes,Low,Medium,Low,Private,Positive,Medium,No,'High School',Near,Male,C
High,Medium,Medium,Medium,Yes,High,A,Medium,Yes,Medium,Low,Medium,Private,Neutral,Medium,No,College,Far,Male,B
Low,High,High,Low,No,Medium,C,Medium,Yes,High,Medium,High,Public,Neutral,Medium,No,College,Moderate,Male,B
Low,High,High,Medium,No,Medium,C,Medium,Yes,Medium,Medium,High,Public,Positive,Medium,No,Postgraduate,Near,Male,B
Low,Low,Medium,Medium,Yes,Medium,A,High,Yes,Low,High,Medium,Private,Positive,Medium,No,Postgraduate,Near,Male,C
Low,High,Medium,Medium,No,Medium,D,High,No,Medium,Medium,High,Public,Negative,Low,No,'High School',Near,Male,C
Medium,High,High,Low,No,High,C,Medium,Yes,Low,Medium,Medium,Public,Neutral,Medium,Yes,College,Far,Female,C
Medium,High,Medium,High,No,High,A,Low,Yes,Low,Low,High,Public,Positive,Low,No,Postgraduate,Near,Male,B
Medium,Medium,Medium,Medium,No,High,A,Medium,Yes,Low,Medium,Medium,Public,Positive,Medium,No,'High School',Near,Male,C
Medium,Medium,Medium,Medium,No,Medium,A,Medium,No,Medium,Low,High,Public,Positive,Medium,No,'High School',Near,Female,C
Medium,High,Medium,Medium,Yes,Medium,B,Low,Yes,Medium,Low,Low,Private,Positive,Medium,No,Postgraduate,Near,Male,B
Medium,High,Medium,Medium,Yes,High,C,Low,No,Low,Medium,Medium,Public,Neutral,Low,No,Postgraduate,Far,Female,B
Low,Medium,Medium,Medium,No,High,A,High,Yes,Medium,High,Low,Public,Neutral,Medium,No,College,Far,Female,C
High,Medium,Medium,Medium,Yes,Medium,C,Medium,Yes,Medium,High,Medium,Public,Positive,Low,No,'High School',Far,Male,C
Medium,Medium,Low,High,No,High,C,Low,Yes,Medium,Medium,Medium,Public,Neutral,Low,No,'High School',Moderate,Male,C
Low,Medium,High,High,No,High,D,Medium,Yes,Low,Low,Medium,Public,Neutral,Medium,No,College,Near,Male,C
Low,Medium,Medium,Medium,Yes,High,A,Low,Yes,Medium,Medium,High,Public,Neutral,Medium,No,'High School',Near,Male,C
Medium,Medium,Low,Low,Yes,High,B,Low,Yes,Low,Low,Medium,Public,Negative,Low,No,College,Near,Male,C
Low,High,Low,Medium,Yes,Low,A,Medium,Yes,Medium,Low,Low,Public,Positive,Low,No,'High School',Moderate,Male,C
Medium,Low,Medium,Low,Yes,Medium,C,Medium,Yes,Low,Low,High,Private,Neutral,Medium,No,College,Near,Female,C
Medium,High,High,High,Yes,High,A,High,Yes,Low,High,Medium,Private,Positive,Medium,No,'High School',Moderate,Male,B
Medium,Low,Low,Medium,Yes,Medium,B,Medium,Yes,Low,Medium,Medium,Public,Neutral,Medium,No,'High School',Near,Male,C
Low,Medium,Low,High,Yes,Low,C,Low,Yes,Medium,Low,Medium,Public,Positive,Medium,No,'High School',Near,Female,C
Low,Low,Medium,High,Yes,Low,B,Medium,Yes,Medium,High,Medium,Private,Neutral,Medium,No,College,Moderate,Male,C
Low,Medium,Medium,Medium,Yes,High,A,Medium,Yes,High,Medium,Medium,Public,Positive,Low,No,Postgraduate,Far,Male,C
Medium,High,Medium,Medium,No,High,B,Low,Yes,Medium,Medium,High,Public,Positive,Low,No,Postgraduate,Near,Male,B
Medium,High,Medium,Medium,No,Low,C,High,Yes,Low,Medium,Low,Public,Positive,Medium,No,'High School',Near,Male,B
Low,Low,Medium,Low,Yes,High,A,Low,Yes,Low,High,Medium,Private,Neutral,Medium,No,'High School',Far,Female,C
Medium,Medium,Medium,High,Yes,Medium,C,Low,Yes,Medium,Low,Medium,Public,Negative,Medium,No,College,Moderate,Male,C
Medium,Medium,High,Medium,No,Low,A,Medium,Yes,High,High,High,Public,Negative,Medium,No,College,Near,Male,B
Low,High,Low,Low,Yes,Medium,A,Low,Yes,Low,Low,Medium,Public,Negative,Medium,No,'High School',Near,Male,C
Medium,High,Medium,High,Yes,Low,B,Medium,Yes,Low,High,Low,Public,Neutral,Low,No,'High School',Near,Male,B
Medium,Medium,High,Medium,Yes,Medium,D,High,No,Medium,Medium,Medium,Public,Neutral,Medium,Yes,'High School',Near,Male,C
Low,High,High,Low,Yes,Low,B,Medium,Yes,Medium,Medium,High,Public,Neutral,Medium,No,'High School',Moderate,Female,C
Medium,High,Low,Medium,Yes,Medium,B,High,Yes,Medium,High,Medium,Public,Neutral,Low,No,College,Near,Female,B
Medium,Low,High,Medium,Yes,High,C,Medium,Yes,Low,Low,Medium,Private,Positive,Medium,No,College,Near,Male,C
Medium,Medium,Medium,Medium,Yes,Low,C,Medium,Yes,Low,Medium,Medium,Public,Positive,Medium,No,'High School',Near,Male,C
